SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Lakh)
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,1.0,Sugar,Fast Moving Consumer Goods,332.25,334.0,334.95,309.65,321.86,525.7,299.5,341.25(10%),279.25(10%),9.67,6330.34,3608.29,2.0,22.21,27.74,13.97,2.3,16.43,1.05,3.0,
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,2.0,Auto Components & Equipments,Consumer Discretionary,194.55,194.6,196.0,188.15,193.13,269.75,118.2,226.90(20%),151.30(20%),,1352.42,405.73,2.0,14.36,17.14,13.17,1.97,14.98,0.18,0.11,21.31
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,A ,10.0,Paper & Paper Products,Commodities,877.05,875.1,880.0,860.6,868.83,1025.0,686.5,"1,044.35(20%)",696.25(20%),,9720.88,4666.02,2.0,23.65,43.83,36.79,2.42,6.58,,,50.28
BANARISUG,BANNARI AMMAN SUGARS LTD.,B ,10.0,Sugar,Fast Moving Consumer Goods,2839.0,2836.8,2836.8,2805.15,2818.11,3049.05,2000.0,"3,366.15(20%)","2,244.15(20%)",,3517.57,738.69,1.0,80.26,136.73,34.95,2.47,7.07,,,1.52
BASF,BASF INDIA LTD.,A ,10.0,Specialty Chemicals,Commodities,2811.95,2801.7,2816.35,2750.0,2778.5,3525.0,2330.7,"3,313.20(20%)","2,208.80(20%)",,11951.17,3107.3,5.0,137.3,177.38,20.11,5.12,25.44,,,28.01
BATAINDIA,BATA INDIA LTD.,A ,5.0,Footwear,Consumer Discretionary,1806.45,1807.85,1820.0,1786.75,1800.81,2261.65,1608.0,"1,993.95(10%)","1,631.45(10%)",6.61,23298.19,11649.09,5.0,22.68,43.01,79.91,12.84,16.07,0.51,0.37,
BEML,BEML LTD.,A ,10.0,Construction Vehicles,Industrials,1578.6,1577.4,1585.4,1561.6,1572.37,1738.06,922.74,"1,882.70(20%)","1,255.20(20%)",,6533.81,3005.55,10.0,34.84,50.57,45.03,2.83,6.29,,,20.3
BEL,BHARAT ELECTRONICS LTD.,A ,1.0,Aerospace & Defense,Industrials,107.85,108.0,108.5,103.85,105.85,115.0,61.09,115.85(10%),94.85(10%),9.54,77008.52,37734.17,10.0,3.79,4.32,27.82,6.07,21.82,17.51,9.01,
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,A ,1.0,Specialty Chemicals,Commodities,109.5,110.0,110.0,108.25,108.95,188.25,98.0,130.10(20%),86.80(20%),,1799.25,737.69,5.0,14.3,14.9,7.58,1.74,22.91,0.36,,9.08
BIHSPONG,BIHAR SPONGE IRON LTD.,XT,10.0,Sponge Iron,Commodities,8.45,8.84,8.84,8.35,8.6,16.23,7.53,9.01(5%),8.17(5%),,77.49,24.02,10.0,0.52,0.89,16.44,-1.03,-6.26,,,0.39
BIRLACABLE,Birla Cable Ltd,B ,10.0,Telecom -  Equipment & Accessories,Telecommunication,132.85,133.75,147.95,133.6,143.92,177.7,75.0,173.00(20%),115.40(20%),,432.6,138.43,10.0,7.26,10.85,19.86,2.32,11.68,,0.16,23.47
BLUESTARCO,BLUE STAR LTD.,A ,2.0,Air Conditioner,Consumer Discretionary,1222.9,1236.7,1236.7,1214.45,1221.51,1239.55,839.7,"1,465.80(20%)",977.20(20%),57.59,11764.74,7176.49,10.0,19.3,27.93,63.29,11.67,18.44,0.87,4.71,
DISAQ,DISA INDIA LTD.,X ,10.0,Industrial Machinery,Industrials,7773.6,7850.0,7850.0,7625.0,7701.52,8522.0,4900.0,"9,240.00(20%)","6,160.00(20%)",,1119.74,268.74,2.0,279.33,303.26,27.57,5.55,20.13,,,28.26
QUESTCAP,Quest Capital Markets Ltd,X ,10.0,Other Capital Market related Services,Financial Services,227.85,227.85,236.5,227.85,234.17,371.0,200.2,282.35(20%),188.25(20%),,235.3,56.47,10.0,19.81,19.89,11.88,0.29,2.43,,,0.67
BPL,BPL LTD.,B ,10.0,Consumer Electronics,Consumer Discretionary,69.8,70.0,71.0,66.6,68.01,105.85,50.35,82.65(20%),55.15(20%),,336.96,124.68,10.0,-,1.03,-,2.24,2.23,0.18,0.16,11.19
OAL,Oriental Aromatics Ltd-$,B ,5.0,Specialty Chemicals,Commodities,456.2,455.5,464.95,453.5,460,888.0,445.55,553.60(20%),369.10(20%),,1552.61,372.63,10.0,11.82,17.06,39.02,2.56,6.56,,,3.51
CENTEXT,CENTURY EXTRUSIONS LTD.,T ,1.0,Aluminium- Copper & Zinc Products,Industrials,11.24,11.39,11.76,11.0,11.1,15.77,7.92,11.59(5%),10.49(5%),,88.32,41.51,1.0,0.93,1.32,11.87,1.49,12.56,0.16,,0.53
CESC,CESC LTD.,A ,1.0,Electric Utilities,Utilities,77.9,77.9,78.75,76.8,77.56,94.5,68.0,92.60(20%),61.80(20%),,9645.05,4629.63,10.0,6.16,9.72,12.54,1.03,8.2,4.1,0.58,45.1
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,A ,10.0,Fertilizers,Commodities,324.15,327.0,327.0,314.75,320.42,515.95,260.75,348.35(10%),285.05(10%),1.56,13180.33,5008.53,10.0,32.47,39.74,9.75,2.13,21.86,1.43,0.49,
EXIDEIND,EXIDE INDUSTRIES LTD.,A ,1.0,Batteries - Automobile,Consumer Discretionary,166.45,166.7,167.5,163.95,165.47,185.5,130.3,181.55(10%),148.55(10%),3.66,14029.25,7435.5,1.0,56.29,61.24,2.93,1.32,45.11,3.02,2.21,
CIPLA,CIPLA LTD.,A ,2.0,Pharmaceuticals,Healthcare,1165.3,1160.75,1171.8,1153.3,1162.66,1179.9,850.0,"1,270.40(10%)","1,039.50(10%)",2.07,93204.65,61515.07,1.0,36.25,42.41,31.86,4.14,12.99,1.46,0.18,
DICIND,DIC INDIA LTD.,B ,10.0,Printing Inks,Commodities,405.0,460.0,460.0,404.9,408.34,493.85,321.0,486.00(20%),324.00(20%),,371.75,104.09,10.0,46.18,61.61,8.77,0.89,10.15,,,1.23
CRISIL,CRISIL LTD.,A ,1.0,Other Financial Services,Financial Services,3004.8,2990.65,3074.3,2964.25,2988.19,3860.0,2586.0,"3,565.40(20%)","2,377.00(20%)",,21703.03,7162,2.0,52.04,59.71,57.09,23.9,41.87,0.11,,99.81
CGPOWER,CG Power and Industrial Solutions Ltd,A ,2.0,Heavy Electrical Equipment,Industrials,252.4,253.0,260.75,250.6,253.63,269.7,142.65,304.85(20%),203.25(20%),5.16,38795.38,15906.11,2.0,5.05,5.53,50.32,17.82,35.4,2.76,2.04,
DABUR,DABUR INDIA LTD.,A ,1.0,Personal Care,Fast Moving Consumer Goods,549.35,550.2,553.95,546.25,551.08,620.0,482.2,605.95(10%),495.85(10%),4.83,97606.45,32210.13,1.0,8.08,9.05,68.2,16.12,23.64,2.06,0.88,
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,A ,2.0,Sugar,Fast Moving Consumer Goods,322.15,322.95,323.05,313.05,318.5,568.65,282.1,377.30(20%),251.60(20%),,2545.14,585.38,2.0,27,39.53,11.65,1.1,9.44,,,31.51
ARVIND,ARVIND LTD.,A ,10.0,Garments & Apparels,Consumer Discretionary,93.35,93.8,94.2,92.85,93.7,158.65,82.0,111.65(20%),74.45(20%),,2427.65,1408.04,10.0,8.94,17.03,10.41,0.81,7.75,0.71,0.54,51.04
BHEL,BHARAT HEAVY ELECTRICALS LTD.,A ,2.0,Heavy Electrical Equipment,Industrials,72.85,73.0,74.7,71.85,73.44,74.7,41.4,80.75(10%),66.15(10%),26.02,25575.76,9463.03,2.0,1.91,2.68,38.53,0.95,2.46,45.87,35.43,
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,A ,10.0,Refineries & Marketing,Energy,210.7,211.0,212.55,209.15,211.17,354.55,200.0,232.95(10%),190.65(10%),2.21,30044.85,13520.18,10.0,-39.54,-10.29,-5.36,0.78,-14.5,2.94,1.05,
IFCI,IFCI LTD.,A ,10.0,Financial Institution,Financial Services,10.44,10.45,10.6,10.25,10.38,18.87,8.3,12.36(20%),8.24(20%),,2166.08,758.13,10.0,-7.59,-7.49,-1.36,4.86,-358.33,5.56,6.32,65.66
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,A ,10.0,Telecom - Cellular & Fixed line services,Telecommunication,20.8,20.8,20.9,20.5,20.7,40.85,16.7,24.70(20%),16.50(20%),,1297.8,571.03,1.0,-40.7,-28.95,-0.51,-0.07,13.74,1.0,0.99,20.59
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,A ,10.0,Refineries & Marketing,Energy,55.9,55.6,57.6,55.6,56.96,127.6,37.1,68.00(20%),45.40(20%),1.99,9937.24,993.72,10.0,27.93,33.79,2.03,1.22,60.32,2.95,3.5,
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,B ,10.0,Refineries & Marketing,Energy,205.95,205.95,224.9,205.95,218.42,417.95,94.65,259.40(20%),173.00(20%),5.42,3219.46,1030.23,10.0,244.94,279.76,0.88,1.15,130.72,1.35,2.48,
SBIN,STATE BANK OF INDIA,A ,1.0,Public Sector Bank,Financial Services,579.55,579.75,582.5,567.0,572.49,586.1,425.0,627.80(10%),513.70(10%),17.14,509372.21,219030.05,2.0,35,35,16.31,1.82,11.15,5.53,2.99,
SAIL,STEEL AUTHORITY OF INDIA LTD.,A ,10.0,Iron & Steel,Commodities,82.5,82.7,82.8,78.4,79.5,130.35,63.6,86.75(10%),71.05(10%),10.39,32586.43,11405.25,1.0,21.65,32.4,3.64,0.63,17.19,10.84,13.07,
TITAN,Titan Company Limited,A ,1.0,Gems- Jewellery And Watches,Consumer Discretionary,2700.95,2707.0,2738.35,2692.7,2722.35,2767.55,1827.15,"3,009.05(10%)","2,461.95(10%)",4.8,242853.9,114141.33,1.0,32.8,36.76,83.39,25.91,31.07,0.87,0.18,
IDBI,IDBI BANK LTD.,A ,10.0,Private Sector Bank,Financial Services,45.2,45.25,45.55,44.3,44.82,57.55,30.5,53.30(20%),35.60(20%),3.23,47794.43,2389.72,2.0,2.65,2.65,16.75,1.11,6.6,10.15,7.21,
DCW,DCW LTD.,B ,2.0,Petrochemicals,Commodities,60.65,61.3,62.55,60.45,61.35,62.55,33.55,73.00(20%),48.70(20%),2.38,1796.02,987.81,10.0,5.18,8.19,11.75,2.24,19.07,3.26,3.88,
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,A ,10.0,Sugar,Fast Moving Consumer Goods,201.0,200.8,202.5,197.15,198.8,515.67,197.15,237.35(20%),158.25(20%),,1313.15,669.7,10.0,23.47,32.23,8.43,1.41,16.68,0.3,0.18,35.92
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,X ,10.0,Specialty Chemicals,Commodities,425.65,428.85,446.9,428.85,443.72,574.0,229.0,469.15(5%),424.55(5%),,437.16,187.98,10.0,24.56,26.27,18.19,4.36,23.97,0.13,0.19,84.69
ELANTAS,ELANTAS BECK INDIA LTD.-$,B ,10.0,Specialty Chemicals,Commodities,4200.9,4219.45,4219.45,4185.0,4192.35,5044.4,2851.25,"5,036.70(20%)","3,357.80(20%)",,3327.45,831.86,10.0,101.5,117.14,41.35,6.11,14.77,,,14.38
DRREDDY,DR.REDDY'S LABORATORIES LTD.,A ,5.0,Pharmaceuticals,Healthcare,4489.55,4497.65,4497.65,4431.55,4476.14,4930.0,3655.0,"4,906.95(10%)","4,014.85(10%)",3.66,74269.2,54216.52,1.0,142.77,194.33,31.25,3.86,12.34,0.33,,
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,A ,1.0,Other Agricultural Products,Fast Moving Consumer Goods,616.8,619.1,619.1,588.0,600.7,673.3,386.05,708.95(20%),472.65(20%),1.9,10485.55,5767.05,2.0,18.58,25.61,31.8,3.8,11.95,0.32,0.32,
PGHL,Procter & Gamble Health Ltd,A ,10.0,Pharmaceuticals,Healthcare,4023.95,4028.3,4049.8,4001.0,4027.27,5541.0,3883.0,"4,820.50(20%)","3,213.70(20%)",,6668.14,3200.71,2.0,116,132.76,34.63,10.82,31.23,,,6.81
ELECTCAST,ELECTROSTEEL CASTINGS LTD.,B ,1.0,Castings & Forgings,Industrials,39.7,39.95,41.95,39.95,41.4,48.0,26.4,49.70(20%),33.20(20%),1.08,2464.64,1380.2,2.0,5.93,7.62,6.99,0.62,8.84,1.88,2.61,
ESABINDIA,ESAB INDIA LTD.,A ,10.0,Other Industrial Products,Industrials,3445.45,3469.9,3469.9,3377.15,3399.06,4160.35,2254.4,"4,091.25(20%)","2,727.55(20%)",,5248.1,1364.51,10.0,58.18,65.64,58.6,21.49,36.67,,,8.02
EPL,EPL Ltd,A ,2.0,Packaging,Industrials,158.7,158.95,159.1,156.8,157.77,229.55,147.35,188.75(20%),125.85(20%),,4968.65,1987.46,5.0,5.35,7.77,29.42,6.27,21.31,0.13,,3.89
ESTER,ESTER INDUSTRIES LTD.,B ,5.0,Packaging,Industrials,172.4,177.3,182.0,171.3,175.64,190.0,112.5,211.40(20%),141.00(20%),,1469.4,367.35,2.0,17.19,21.85,10.25,2.34,22.81,0.24,0.11,19.49
FGP,FGP LTD.,X ,10.0,Non Banking Financial Company (NBFC),Financial Services,7.14,7.21,7.9,7.21,7.86,14.98,2.1,9.48(20%),6.32(20%),,9.4,5.54,10.0,0.49,0.5,16.06,2.4,14.95,,,0.36
PHCAP,PH CAPITAL LTD.,X ,10.0,Investment Company,Financial Services,87.5,90.0,90.0,84.5,85.93,220.55,58.0,102.95(20%),68.65(20%),,25.74,6.69,10.0,12.08,12.38,7.1,0.85,11.99,,,2.53
FINCABLES,FINOLEX CABLES LTD.,A ,2.0,Cables - Electricals,Industrials,522.35,519.7,536.2,515.25,523.14,608.65,344.0,624.35(20%),416.25(20%),1.66,7957.43,3899.14,10.0,29.1,31.61,17.88,2.44,13.64,0.47,0.32,
COCKERILL,John Cockerill India Ltd-$,X ,10.0,Industrial Machinery,Industrials,1211.45,1220.1,1242.0,1200.05,1208.55,1835.0,925.25,"1,452.05(20%)",968.05(20%),,597.5,149.38,1.0,0.69,9.96,1747.08,3.31,0.19,,,11.58
UFLEX,UFLEX LTD.,A ,10.0,Packaging,Industrials,731.9,741.25,741.25,721.5,728,811.05,473.4,868.90(20%),579.30(20%),,5228.83,2248.4,2.0,33.3,68.69,21.75,1.95,8.96,,,32.06
FOSECOIND,FOSECO INDIA LTD.,B ,10.0,Specialty Chemicals,Commodities,2023.8,2010.9,2011.2,1991.3,2006.83,2100.0,1245.4,"2,406.60(20%)","1,604.40(20%)",,1280.8,179.31,10.0,62.43,72.4,32.12,5.94,18.49,,,1.57
GOLDENTOBC,GOLDEN TOBACCO LTD.,Z ,10.0,Residential- Commercial Projects,Consumer Discretionary,76.95,77.4,79.8,77.4,78.52,162.2,74.55,82.80(5%),75.00(5%),,138.93,97.25,100.0,1.54,1.82,51.34,-0.92,-1.79,,,0.05
GANESHBE,GANESH BENZOPLAST LTD.,B ,1.0,Oil Storage & Transportation,Energy,143.95,144.9,148.0,143.3,145.77,148.0,75.0,173.50(20%),115.70(20%),,901.72,369.7,1.0,5.46,7.48,26.49,3.19,12.06,0.26,0.15,22.49
METROGLOBL,Metroglobal Limited,X ,10.0,Trading & Distributors,Services,86.0,85.0,92.0,83.1,86.58,101.0,68.4,103.05(20%),68.75(20%),,105.95,25.43,10.0,11.47,12.23,7.49,0.3,4.01,,,1.87
GTL,GTL LTD.,B ,10.0,Other Telecom Services,Telecommunication,7.8,7.87,7.87,7.74,7.78,27.6,7.6,8.56(10%),7.02(10%),,122.53,105.38,10.0,33.03,33.32,0.24,-0.02,-8.26,0.77,0.83,6.49
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,A ,2.0,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,1475.95,1480.5,1504.1,1463.85,1484.98,1504.1,937.3,"1,764.70(20%)","1,176.50(20%)",1.26,7646.23,2064.48,5.0,88.48,116.49,16.62,2.81,16.89,0.14,,
GODREJIND,GODREJ INDUSTRIES LTD.,A ,1.0,Animal Feed,Fast Moving Consumer Goods,429.25,429.85,431.0,427.3,429.38,661.55,405.0,513.65(20%),342.45(20%),,14409.8,2737.86,10.0,1.5,3.71,285.85,9.72,3.4,,,10.05
KANSAINER,KANSAI NEROLAC PAINTS LTD.,A ,1.0,Paints,Consumer Discretionary,478.2,476.6,478.0,472.55,475.22,629.65,358.05,572.10(20%),381.40(20%),,25693,6423.25,10.0,7.76,10.65,61.42,6.16,10.03,0.73,,43.39
GOODRICKE,GOODRICKE GROUP LTD.,X ,10.0,Tea & Coffee,Fast Moving Consumer Goods,207.45,207.95,207.95,204.35,205.41,270.7,191.0,246.15(20%),164.15(20%),,443.12,110.78,5.0,0.83,10.62,246.18,1.37,0.56,,,9.73
GOODYEAR,GOODYEAR INDIA LTD.,B ,10.0,Tyres & Rubber Products,Consumer Discretionary,1029.7,1023.1,1031.6,1007.0,1018.56,1203.0,844.0,"1,224.70(20%)",816.50(20%),,2354.17,565,10.0,49.31,71.88,20.7,3.29,15.91,,,8.83
GTNINDS,GTN INDUSTRIES LTD.,XT,10.0,Other Textile Products,Consumer Discretionary,62.1,61.75,62.0,59.0,59.99,89.0,16.9,62.35(5%),56.45(5%),,104.19,26.05,10.0,28.64,31.31,2.07,1.29,62.4,0.16,0.12,7.13
GHCL,GHCL LTD.,A ,10.0,Commodity Chemicals,Commodities,663.0,664.45,666.45,643.2,652.1,709.0,349.0,775.55(20%),517.05(20%),1.23,6177.71,4880.39,10.0,91.84,104.8,7.04,2,28.41,0.27,0.19,
GFLLIMITED,GFL Ltd,B ,1.0,Holding Company,Financial Services,68.0,67.1,68.85,67.0,68.31,94.1,58.25,80.50(20%),53.70(20%),,737.09,228.5,10.0,0.14,0.14,481.76,2.36,0.49,,0.15,10.2
GLFL,GUJARAT LEASE FINANCING LTD.,T ,10.0,Other Financial Services,Financial Services,3.32,3.45,3.45,3.16,3.25,5.0,1.94,3.31(5%),3.01(5%),,8.57,4.63,10.0,-0.04,-0.03,-84.87,-1.94,2.29,,,0.0
HCL-INSYS,HCL INFOSYSTEMS LTD.,B ,2.0,Computers Hardware & Equipments,Information Technology,15.9,16.25,16.25,15.65,15.81,31.35,12.45,18.95(20%),12.65(20%),,520.15,176.85,2.0,-1.06,-1.03,-14.92,-2.36,15.82,0.69,1.18,18.59
HDFCBANK,HDFC Bank Ltd,A ,1.0,Private Sector Bank,Financial Services,1454.25,1450.0,1466.9,1448.75,1460.99,1721.85,1271.75,"1,604.35(10%)","1,312.65(10%)",17.3,812378.52,641779.03,10.0,72.17,72.17,20.21,3.2,15.82,1.63,1.18,
HEROMOTOCO,HERO MOTOCORP LTD.,A ,2.0,2/3 Wheelers,Consumer Discretionary,2611.85,2615.25,2673.15,2615.25,2647.55,2939.35,2148.0,"2,914.10(10%)","2,384.30(10%)",6.52,52936.91,34408.99,1.0,136.73,169.24,19.38,3.35,17.31,0.37,0.25,
HFCL,HFCL Ltd,A ,1.0,Telecom - Infrastructure,Telecommunication,78.15,78.5,78.55,76.8,77.47,101.35,51.55,92.30(20%),61.60(20%),3.61,10601.85,6467.13,10.0,1.86,2.3,41.42,3.75,9.05,7.61,4.66,
HSCL,Himadri Speciality Chemical Ltd,A ,1.0,Specialty Chemicals,Commodities,102.75,103.3,105.85,102.4,104.23,108.85,41.6,124.95(20%),83.35(20%),5.33,4367.42,2358.41,10.0,2.1,3.23,49.49,2.42,4.89,3.05,5.11,
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,A ,1.0,Engineering- Designing & Construction,Industrials,13.74,13.85,13.85,13.43,13.57,20.03,9.1,16.20(20%),10.80(20%),,2042.59,1368.53,5.0,-1.72,-1.13,-7.84,4.35,-55.66,8.96,7.07,95.9
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,A ,10.0,Oil Exploration & Production,Energy,137.75,138.6,139.45,136.35,138.41,245.15,125.7,166.35(20%),110.95(20%),,1833.55,1301.82,10.0,4.41,5.57,31.44,2.39,7.61,0.33,0.25,34.06
AGI,Agi Greenpac Ltd,B ,2.0,Packaging,Industrials,323.45,325.0,327.2,310.6,317.51,407.45,178.75,379.25(20%),252.85(20%),,2044.76,797.46,10.0,38.99,57.31,8.11,1.47,18.12,0.17,0.21,67.54
HINDZINC,HINDUSTAN ZINC LTD.,A ,2.0,Zinc,Commodities,284.05,283.5,285.65,283.0,283.96,372.15,242.4,339.90(20%),226.60(20%),,119682.16,7180.93,2.0,26.99,34.29,10.49,3.83,36.46,0.27,,21.81
NXTDIGITAL,Nxtdigital Ltd,B ,10.0,TV Broadcasting & Software Production,Consumer Discretionary,380.4,380.0,387.15,380.0,382.15,526.0,320.0,462.15(20%),308.15(20%),,1296.86,337.18,1.0,-16.5,36.02,-23.34,0.66,-2.82,,,1.59
HMT,HMT LTD.,Z ,10.0,Industrial Machinery,Industrials,29.25,28.75,29.5,28.25,28.97,34.0,22.1,30.10(5%),27.30(5%),,1350.83,81.05,10.0,0.35,0.37,81.79,8.11,9.9,,,0.7
PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,XT,10.0,Other Textile Products,Consumer Discretionary,2.61,2.65,2.71,2.52,2.67,6.8,1.91,2.79(5%),2.53(5%),,19.79,10.09,10.0,-3.33,-2.72,-0.8,0.69,-85.97,,,0.2
HLVLTD,HLV Ltd,B ,2.0,Hotels & Resorts,Consumer Discretionary,10.22,10.0,10.45,9.6,10.02,12.35,7.9,11.72(20%),7.82(20%),,644.1,115.94,10.0,-0.49,-0.3,-20.14,1.56,-7.76,0.63,0.65,6.5
IGPL,I G PETROCHEMICALS LTD.,A ,10.0,Commodity Chemicals,Commodities,526.65,530.0,530.05,512.55,517.72,893.0,512.55,618.00(20%),412.00(20%),,1585.93,459.92,10.0,96.06,110.65,5.36,1.49,27.88,,,19.37
INDIAGLYCO,INDIA GLYCOLS LTD.,A ,10.0,Commodity Chemicals,Commodities,781.95,782.0,785.65,762.45,769.89,1153.1,599.05,920.25(20%),613.55(20%),,2374.44,902.29,10.0,29.87,54.83,25.68,1.57,6.12,,0.11,81.35
